DefaultSC.UTCGregorian     DefaultSC.Earth.SMA       DefaultSC.Earth.ECC       DefaultSC.EarthMJ2000Eq.INC   DefaultSC.EarthMJ2000Eq.RAAN   DefaultSC.EarthMJ2000Eq.AOP   DefaultSC.Earth.TA        DefaultSC.Earth.MA        
16 Dec 2025 15:31:15.990   6793.441183761696         0.00213539828612275       34.89876461537037             23.93501845592537              205.2553541698768             58.06594375985875         57.85845435737796         
16 Dec 2025 15:31:25.990   6793.425879715828         0.002133807031119535      34.89866911265388             23.93351948512456              205.2119991029313             58.75801534347891         58.54913124667473         
16 Dec 2025 15:31:35.990   6793.412204469817         0.002132390979302511      34.89858324121633             23.93201724192837              205.1731020981401             59.44560419440982         59.23535056559469         
16 Dec 2025 15:31:45.990   6793.400164818676         0.002131142706751527      34.89850704061509             23.93051210979548              205.138860360025              60.12851269834131         59.91691503419928         
16 Dec 2025 15:31:55.990   6793.38976667339          0.002130054574799218      34.89844054541209             23.92900447346477              205.1094613859708             60.80655295064598         60.59363707965878         
16 Dec 2025 15:32:05.990   6793.381015057635         0.002129118746516532      34.89838378516135             23.92749471875502              205.0850827221882             61.4795470005805          61.26533908031858         
16 Dec 2025 15:32:15.990   6793.373914105047         0.002128327203288231      34.89833678439899             23.92598323236472              205.0658917615574             62.14732705360472         61.93185356788453         
16 Dec 2025 15:32:25.990   6793.368467057002         0.002127671761442418      34.89829956263591             23.92447040167101              205.0520455818107             62.8097356333631          62.59302338926652         
16 Dec 2025 15:32:35.990   6793.364676260919         0.002127144088807882      34.89827213435329             23.92295661452967              205.0436908245018             63.46662570287716         63.24870182763876         
16 Dec 2025 15:32:45.990   6793.362543169085         0.002126735721204151      34.89825450900032             23.92144225907465              205.040963612281              64.1178607474328          63.89875268519159         
16 Dec 2025 15:32:55.990   6793.362068338031         0.002126438078777782      34.89824669099489             23.91992772351782              205.0439895037733             64.76331481986291         64.54305032827958         
16 Dec 2025 15:33:05.990   6793.363251428402         0.002126242482138653      34.8982486797266              23.91841339594923              205.0528834842432             65.40287255004327         65.18147969678328         
16 Dec 2025 15:33:15.990   6793.366091205367         0.002126140168237943      34.89826046956262             23.91689966413781              205.0677499903468             66.03642912030023         65.81393627938414         
16 Dec 2025 15:33:25.990   6793.370585539578         0.002126122305985201      34.89828204985579             23.91538691533196              205.0886829667129             66.66389020898842         66.44032605700598         
16 Dec 2025 15:33:35.990   6793.376731408622         0.002126180011484309      34.89831340495564             23.91387553606199              205.1157659530552             67.28517190353651         67.06056541573101         
16 Dec 2025 15:33:45.990   6793.384524898997         0.002126304362928066      34.89835451422162             23.91236591194224              205.1490721988241             67.90020058595159         67.6745810321712          
16 Dec 2025 15:33:55.990   6793.393961208679         0.002126486415084873      34.89840535203908             23.9108584274747               205.1886648038242             68.50891279235783         68.28230973287566         
16 Dec 2025 15:34:05.990   6793.405034650122         0.002126717213351211      34.89846588783772             23.90935346585304              205.2345968821409             69.111255049224           68.88369833042756         
16 Dec 2025 15:34:15.990   6793.417738653825         0.002126987807343118      34.89853608611235             23.90785140876829              205.2869117473926             69.70718368826439         69.47870343821639         
16 Dec 2025 15:34:25.990   6793.432065772426         0.002127289264031401      34.89861590644647             23.90635263621487              205.3456431168053             70.29666464251622         70.06729126638469         
16 Dec 2025 15:34:35.990   6793.448007685301         0.002127612680360704      34.89870530353804             23.90485752629845              205.4108153322228             70.87967322547992         70.64943740084212         
16 Dec 2025 15:34:45.990   6793.465555203654         0.002127949195365708      34.89880422722764             23.90336645504516              205.4824435954886             71.45619389588555         71.22512656790562         
16 Dec 2025 15:34:55.990   6793.48469827617          0.002128290001778102      34.89891262252928             23.90187979621188              205.5605342163606             72.02622000992615         71.7943523864074          
16 Dec 2025 15:35:05.990   6793.505425995109         0.002128626357105509      34.89903042966345             23.90039792109828              205.6450848705681             72.58975356334571         72.35711710965892         
16 Dec 2025 15:35:15.990   6793.527726602937         0.002128949594179181      34.89915758409246             23.89892119836045              205.7360848663508             73.14680492504478         72.91343135893463         
16 Dec 2025 15:35:25.990   6793.551587499484         0.002129251131192402      34.89929401655829             23.89744999382578              205.8335154173861             73.69739256429509         73.46331385056409         
16 Dec 2025 15:35:35.990   6793.576995249517         0.002129522481189409      34.89943965312262             23.89598467031037              205.937349920279              74.24154277339072         74.00679111846451         
16 Dec 2025 15:35:45.990   6793.603935590876         0.002129755261039631      34.89959441520915             23.89452558743779              206.0475542351754             74.7792893871726          74.54389723354758         
16 Dec 2025 15:35:55.990   6793.632393443037         0.00212994119989872       34.89975821964831             23.89307310146                 206.1640869674804             75.31067350144714         75.07467352202181         
16 Dec 2025 15:36:05.990   6793.662352916168         0.00213007214715999       34.89993097872392             23.89162756508019              206.2868997495753             75.83574319140416         75.59916828369589         
16 Dec 2025 15:36:15.990   6793.693797320696         0.002130140079908695      34.9001126002223              23.89018932727783              206.4159375210865             76.35455323148024         76.11743651172951         
16 Dec 2025 15:36:25.990   6793.72670917721          0.002130137109878136      34.90030298748348             23.88875873313603              206.5511388060813             76.86716481829323         76.62953961545794         
16 Dec 2025 15:36:35.990   6793.761070227029         0.002130055489966853      34.90050203945436             23.88733612367044              206.6924359867892             77.37364529705013         77.13554514668886         
16 Dec 2025 15:36:45.990   6793.796861442993         0.002129887620245355      34.90070965074435             23.88592183566171              206.8397555719369             77.87406789333713         77.63552653138798         
16 Dec 2025 15:36:55.990   6793.834063040842         0.002129626053548945      34.9009257116825              23.88451620148948              206.9930184594569             78.36851145053555         78.12956280698994         
16 Dec 2025 15:37:05.990   6793.872654490959         0.002129263500632453      34.90115010837731             23.88311954896924              207.1521401922831             78.85706017414726         78.61773836662113         
16 Dec 2025 15:37:15.990   6793.912614530583         0.00212879283491111       34.90138272277789             23.88173220119162              207.3170312068351             79.33980338342955         79.10014271063453         
16 Dec 2025 15:37:25.990   6793.953921176369         0.00212820709679326       34.90162343273763             23.88035447636459              207.4875970731236             79.81683527140649         79.57687020652428         
16 Dec 2025 15:37:35.990   6793.996551737478         0.002127499497666813      34.90187211207945             23.87898668765761              207.6637387265402             80.28825467319335         80.04801985715198         
16 Dec 2025 15:37:45.990   6794.040482828917         0.002126663423473513      34.90212863066296             23.87762914304957              207.8453526900563             80.75416484390945         80.51369507856903         
16 Dec 2025 15:37:55.990   6794.085690385357         0.002125692437966326      34.90239285445364             23.87628214517916              208.0323312871537             81.21467324585606         80.9740034871034          
16 Dec 2025 15:38:05.990   6794.13214967531          0.002124580285631608      34.9026646455936              23.87494599119785              208.2245628446619             81.66989134578635         81.42905669654158         
16 Dec 2025 15:38:15.990   6794.179835315667         0.002123320894298681      34.90294386247424             23.87362097262631              208.4219318855423             82.11993442222396         81.87897012536182         
16 Dec 2025 15:38:25.990   6794.228721286582         0.00212190837744635       34.90323035981056             23.87230737521371              208.6243193111268             82.56492138332673         82.32386281451592         
16 Dec 2025 15:38:35.990   6794.27878094681          0.002120337036262075      34.90352398871732             23.87100547879951              208.8316025731743             83.0049745949276          82.76385725538786         
16 Dec 2025 15:38:45.990   6794.329987049199         0.002118601361392627      34.90382459678653             23.86971555717968              209.0436558347512             83.44021971975015         83.19907922893454         
16 Dec 2025 15:38:55.990   6794.382311756646         0.002116696034481634      34.90413202816687             23.86843787797487              209.2603501207565             83.87078556697594         83.62965765517787         
16 Dec 2025 15:39:05.990   6794.435726658321         0.002114615929467899      34.90444612364435             23.86717270250261              209.4815534575854             84.29680395267084         84.05572445355962         
16 Dec 2025 15:39:15.990   6794.490202786217         0.002112356113671322      34.90476672072479             23.8659202856525               209.7071310020803             84.71840957092148         84.47741441400923         
16 Dec 2025 15:39:25.990   6794.545710631944         0.002109911848672287      34.90509365371749             23.86468087576477              209.936945159675              85.13573987577433         84.89486507881793         
16 Dec 2025 15:39:35.990   6794.602220163917         0.00210727859103413       34.90542675382066             23.86345471451213              210.1708556922234             85.54893497348888         85.30821663482692         
16 Dec 2025 15:39:45.990   6794.659700844681         0.002104451992815476      34.90576584920782             23.86224203678533              210.4087198148084             85.95813752580639         85.71761181663862         
16 Dec 2025 15:39:55.990   6794.71812164856          0.00210142790195229       34.90611076511593             23.86104307058223              210.6503922823409             86.36349266342624         86.12319582003572         
16 Dec 2025 15:40:05.990   6794.777451079554         0.002098202362491558      34.90646132393449             23.85985803690003              210.8957254657701             86.76514790986741         86.52511622578895         
16 Dec 2025 15:40:15.990   6794.837657189466         0.002094771614693842      34.90681734529613             23.8586871496315               211.1445694180402             87.16325311558111         86.92352293371928         
16 Dec 2025 15:40:25.990   6794.898707596201         0.0020911320950139        34.90717864616822             23.85753061546454              211.3967719298175             87.55796040228908         87.31856810698952         
16 Dec 2025 15:40:35.990   6794.960569502408         0.002087280435992673      34.90754504094593             23.85638863378541              211.6521785755749             87.94942411696265         87.71040612603774         
16 Dec 2025 15:40:45.990   6795.023209714195         0.002083213466036811      34.90791634154598             23.85526139658564              211.9106327495489             88.33780079592444         88.09919355263884         
16 Dec 2025 15:40:55.990   6795.086594660033         0.002078928209118145      34.90829235750184             23.85414908837294              212.1719756918675             88.7232491387775          88.48508910379614         
16 Dec 2025 15:41:05.990   6795.150690409902         0.002074421884406988      34.90867289605965             23.85305188608554              212.4360465053927             89.10592999161604         88.86825363491741         
16 Dec 2025 15:41:15.990   6795.215462694543         0.002069691905841541      34.90905776227538             23.85196995901032              212.7026821628938             89.48600633990181         89.24885013265983         
16 Dec 2025 15:41:25.990   6795.280876924862         0.002064735881640835      34.9094467591127              23.85090346870508              212.971717504909              89.86364331064932         89.62704371708777         
16 Dec 2025 15:41:35.990   6795.346898211541         0.002059551613789067      34.9098396875419              23.84985256892405              213.2429852286235             90.23900818359211         90.00300165281301         
16 Dec 2025 15:41:45.990   6795.413491384662         0.002054137097472756      34.91023634663954             23.84881740554763              213.5163158672499             90.61227041184155         90.37689336963291         
16 Dec 2025 15:41:55.990   6795.480621013488         0.002048490520495688      34.91063653368893             23.84779811651624              213.7915377604892             90.9836016514637          90.74889049208919         
16 Dec 2025 15:42:05.990   6795.548251426346         0.002042610262684628      34.91104004428125             23.84679483176756              214.0684770161238             91.35317579991948         91.11916687789304         
16 Dec 2025 15:42:15.990   6795.616346730587         0.002036494895285386      34.91144667241758             23.84580767317804              214.3469574626607             91.72116904345242         91.48789866530132         
