DefaultSC.UTCGregorian     DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   
16 Dec 2025 15:55:35.990   6311.816278676027           2538.502249287872           -158.0491050084863          -2.241829859766931           5.860114059460955            4.37735083032223             
16 Dec 2025 15:55:45.990   6288.998714683808           2596.941379462092           -114.2664920189768          -2.321634494044547           5.827588721090852            4.379079071819807            
16 Dec 2025 15:55:55.990   6265.384574460105           2655.051565575114           -70.46937777799907          -2.401143430100979           5.794325945429268            4.380251053885117            
16 Dec 2025 15:56:05.990   6240.976865201904           2712.825454354056           -26.66332556477626          -2.480346631434243           5.76032996784404             4.3808666512404              
16 Dec 2025 15:56:15.990   6215.778694275537           2770.255735339622           17.14610043976166           -2.559234100885759           5.725605115591411            4.380925808821799            
16 Dec 2025 15:56:25.990   6189.793268816989           2827.335141802181           60.95333585509346           -2.637795881892304           5.690155807252956            4.380428541773099            
16 Dec 2025 15:56:35.990   6163.023895319701           2884.056451652152           104.7528168031138           -2.716022059732127           5.65398655216101             4.379374935430396            
16 Dec 2025 15:56:45.990   6135.47397920996            2940.412488344595           148.538980609942            -2.7939027627651             5.617101949812706            4.377765145297726            
16 Dec 2025 15:56:55.990   6107.147024409897           2996.396121777882           192.3062665074422           -2.871428163666705           5.57950668927272             4.375599397013679            
16 Dec 2025 15:57:05.990   6078.046632888198           3052.000269186341           236.0491163343644           -2.948588480655712           5.541205548564812            4.372877986308993            
16 Dec 2025 15:57:15.990   6048.176504198546           3107.217896026752           279.7619752370159           -3.025373978715382           5.502203394052277            4.369601278955161            
16 Dec 2025 15:57:25.990   6017.540435005913           3162.042016858605           323.4392923693754           -3.101774970808012           5.462505179807398            4.365769710704069            
16 Dec 2025 15:57:35.990   5986.142318600712           3216.465696217989           367.0755215925571           -3.177781819082695           5.422115946970028            4.361383787218693            
16 Dec 2025 15:57:45.990   5953.986144400928           3270.482049485019           410.665122173538            -3.25338493607611            5.381040823095366            4.35644408399485             
16 Dec 2025 15:57:55.990   5921.075997442264           3324.084243744678           454.2025594830586           -3.328574785906196           5.339285021491087            4.350951246274068            
16 Dec 2025 15:58:05.990   5887.416057856391           3377.265498640988           497.6823056926062           -3.40334188545855            5.296853840543894            4.344905988947564            
16 Dec 2025 15:58:15.990   5853.010600337368           3430.019087224386           541.0988404703962           -3.477676805565408           5.253752663035615            4.33830909645139             
16 Dec 2025 15:58:25.990   5817.863993596318           3482.338336792216           584.4466516762581           -3.55157017217705            5.209986955448978            4.331161422652747            
16 Dec 2025 15:58:35.990   5781.980699804419           3534.216629722224           627.7202360553429           -3.625012667525478           5.165562267263136            4.323463890727522            
16 Dec 2025 15:58:45.990   5745.365274024297           3585.647404298956           670.9140999305603           -3.697995031280223           5.120484230239099            4.315217493029055            
16 Dec 2025 15:58:55.990   5708.022363629913           3636.624155532959           714.0227598936617           -3.770508061696153           5.074758557695159            4.306423290948199            
16 Dec 2025 15:59:05.990   5669.956707714998           3687.140435972698           757.0407434948785           -3.842542616753093           5.028391043772436            4.297082414764668            
16 Dec 2025 15:59:15.990   5631.173136490145           3737.189856509064           799.9625899310317           -3.914089615287187           4.981387562690676            4.287196063489755            
16 Dec 2025 15:59:25.990   5591.676570668621           3786.766087172401           842.7828507320262           -3.985140038113799           4.933754067994394            4.27676550470042             
16 Dec 2025 15:59:35.990   5551.472020840996           3835.862857921947           885.4960904456403           -4.055684929141859           4.885496591789498            4.26579207436481             
